part_id,archetype,material,features,tolerance,batch_size
PART_079,Tapered Sleeve,Steel,Taper;Hole;Chamfer,0.02mm,50
PART_080,Splined Shaft,Titanium,Spline;Step;Fillet;Chamfer,0.01mm,50
PART_081,Knurled Grip Handle,Plastic,Knurl;Step;Chamfer;Face,0.05mm,100
PART_082,V-Belt Pulley,Cast Iron,Groove;Hole;Keyway;Face,0.02mm,250
PART_083,Stepped Shaft with Retaining Groove,Aluminum,Step;Groove;Fillet;Chamfer,0.02mm,50
PART_084,Precision Dowel Pin,Titanium,Chamfer;Face,0.005mm,2500
PART_085,Flanged Bushing,Copper,Hole;Face;Chamfer;Counterbore,0.05mm,250
PART_086,Flange Plate,Cast Iron,Hole;Counterbore;Countersink;Chamfer;Face,0.05mm,100
PART_087,Hex Bolt,Brass,Face;Thread;Chamfer,0.05mm,1000
PART_088,Engraved ID Plate,Aluminum,Engraved_Mark;Face;Hole;Chamfer,0.5mm,50
PART_089,Knurled Grip Handle,Aluminum,Knurl;Step;Chamfer;Face,0.1mm,100
PART_090,Mounting Bracket,Aluminum,Slot;Hole;Chamfer;Face,0.05mm,500
PART_091,Splined Shaft,Steel,Spline;Step;Fillet;Chamfer,0.01mm,50
PART_092,Pocketed Housing,Aluminum,Pocket;Hole;Counterbore;Chamfer,0.05mm,100
PART_093,Threaded Shaft with Relief Groove,Titanium,Thread;Fillet;Step,0.01mm,100
PART_094,Cam Profile Disc,Steel,Contour_3D;Hole;Keyway,0.01mm,50
PART_095,Engraved ID Plate,Aluminum,Engraved_Mark;Face;Hole;Chamfer,0.1mm,100
PART_096,Stepped Shaft with Retaining Groove,Aluminum,Step;Groove;Fillet;Chamfer,0.02mm,50
PART_097,Flanged Bushing,Aluminum,Hole;Face;Chamfer;Counterbore,0.05mm,50
PART_098,Splined Shaft,Steel,Spline;Step;Fillet;Chamfer,0.01mm,10
PART_099,Sealed Housing Cover,Steel,Groove;Face;Hole;Chamfer,0.1mm,500
PART_100,Engraved ID Plate,Plastic,Engraved_Mark;Face;Hole;Chamfer,0.5mm,250
PART_101,Gear Blank,Cast Iron,Gear_Teeth;Hole;Keyway;Face,0.005mm,10
PART_102,Gear Blank,Steel,Gear_Teeth;Hole;Keyway;Face,0.005mm,50
PART_103,Tapered Sleeve,Aluminum,Taper;Hole;Chamfer,0.05mm,50
PART_104,Cam Profile Disc,Cast Iron,Contour_3D;Hole;Keyway,0.01mm,10
PART_105,Mounting Bracket,Steel,Slot;Hole;Chamfer;Face,0.05mm,250
PART_106,Sealed Housing Cover,Cast Iron,Groove;Face;Hole;Chamfer,0.05mm,100
PART_107,Internally Threaded Bushing,Copper,Thread;Hole;Chamfer;Face,0.02mm,250
PART_108,Splined Shaft,Titanium,Spline;Step;Fillet;Chamfer,0.005mm,10
PART_109,Sealed Housing Cover,Aluminum,Groove;Face;Hole;Chamfer,0.05mm,250
PART_110,Threaded Shaft with Relief Groove,Titanium,Thread;Fillet;Step,0.01mm,50
PART_111,Keyed Shaft,Steel,Step;Keyway;Chamfer;Face,0.02mm,10
PART_112,Pocketed Housing,Aluminum,Pocket;Hole;Counterbore;Chamfer,0.02mm,100
PART_113,Threaded Shaft with Relief Groove,Steel,Thread;Fillet;Step,0.02mm,50
PART_114,Precision Dowel Pin,Titanium,Chamfer;Face,0.01mm,2500
PART_115,Internally Threaded Bushing,Brass,Thread;Hole;Chamfer;Face,0.02mm,100
PART_116,Threaded Shaft with Relief Groove,Titanium,Thread;Fillet;Step,0.02mm,100
PART_117,Mounting Bracket,Steel,Slot;Hole;Chamfer;Face,0.5mm,250
PART_118,Knurled Grip Handle,Plastic,Knurl;Step;Chamfer;Face,0.1mm,500
PART_119,Pocketed Housing,Aluminum,Pocket;Hole;Counterbore;Chamfer,0.02mm,50
PART_120,Boss with Spotface,Cast Iron,Boss;Counterbore;Hole,0.05mm,50
PART_121,V-Belt Pulley,Aluminum,Groove;Hole;Keyway;Face,0.05mm,250
PART_122,Boss with Spotface,Steel,Boss;Counterbore;Hole,0.05mm,100
PART_123,Knurled Grip Handle,Plastic,Knurl;Step;Chamfer;Face,0.05mm,500
PART_124,Flange Plate,Steel,Hole;Counterbore;Countersink;Chamfer;Face,0.05mm,250
PART_125,Engraved ID Plate,Aluminum,Engraved_Mark;Face;Hole;Chamfer,0.5mm,50
PART_126,Pocketed Housing,Steel,Pocket;Hole;Counterbore;Chamfer,0.02mm,100
PART_127,Mounting Bracket,Aluminum,Slot;Hole;Chamfer;Face,0.05mm,1000
PART_128,Flange Plate,Cast Iron,Hole;Counterbore;Countersink;Chamfer;Face,0.1mm,100
PART_129,Gear Blank,Cast Iron,Gear_Teeth;Hole;Keyway;Face,0.01mm,10
PART_130,Splined Shaft,Titanium,Spline;Step;Fillet;Chamfer,0.005mm,10
PART_131,Boss with Spotface,Aluminum,Boss;Counterbore;Hole,0.05mm,250
PART_132,Splined Shaft,Titanium,Spline;Step;Fillet;Chamfer,0.005mm,10
PART_133,Knurled Grip Handle,Steel,Knurl;Step;Chamfer;Face,0.05mm,100
PART_134,Splined Shaft,Titanium,Spline;Step;Fillet;Chamfer,0.01mm,10
PART_135,Internally Threaded Bushing,Copper,Thread;Hole;Chamfer;Face,0.05mm,100
PART_136,Cam Profile Disc,Steel,Contour_3D;Hole;Keyway,0.01mm,50
PART_137,Boss with Spotface,Aluminum,Boss;Counterbore;Hole,0.05mm,250
PART_138,Hex Bolt,Brass,Face;Thread;Chamfer,0.1mm,500
PART_139,Tapered Sleeve,Aluminum,Taper;Hole;Chamfer,0.02mm,100
PART_140,Cam Profile Disc,Cast Iron,Contour_3D;Hole;Keyway,0.01mm,50
PART_141,Sealed Housing Cover,Steel,Groove;Face;Hole;Chamfer,0.1mm,250
PART_142,Internally Threaded Bushing,Steel,Thread;Hole;Chamfer;Face,0.02mm,100
PART_143,Pocketed Housing,Steel,Pocket;Hole;Counterbore;Chamfer,0.05mm,10
PART_144,Engraved ID Plate,Brass,Engraved_Mark;Face;Hole;Chamfer,0.5mm,250
PART_145,Tapered Sleeve,Aluminum,Taper;Hole;Chamfer,0.05mm,100
PART_146,Sealed Housing Cover,Aluminum,Groove;Face;Hole;Chamfer,0.1mm,500
PART_147,Boss with Spotface,Cast Iron,Boss;Counterbore;Hole,0.05mm,100
PART_148,Threaded Shaft with Relief Groove,Titanium,Thread;Fillet;Step,0.01mm,10
PART_149,Mounting Bracket,Steel,Slot;Hole;Chamfer;Face,0.05mm,250
PART_150,Flanged Bushing,Copper,Hole;Face;Chamfer;Counterbore,0.02mm,250
PART_151,Flange Plate,Steel,Hole;Counterbore;Countersink;Chamfer;Face,0.05mm,100
PART_152,Stepped Shaft with Retaining Groove,Aluminum,Step;Groove;Fillet;Chamfer,0.01mm,10
PART_153,Keyed Shaft,Cast Iron,Step;Keyway;Chamfer;Face,0.01mm,50
PART_154,V-Belt Pulley,Aluminum,Groove;Hole;Keyway;Face,0.02mm,50
PART_155,Pocketed Housing,Steel,Pocket;Hole;Counterbore;Chamfer,0.05mm,10
PART_156,Knurled Grip Handle,Aluminum,Knurl;Step;Chamfer;Face,0.05mm,500
PART_157,Precision Dowel Pin,Steel,Chamfer;Face,0.01mm,2500
PART_158,Internally Threaded Bushing,Brass,Thread;Hole;Chamfer;Face,0.05mm,100
PART_159,Hex Bolt,Steel,Face;Thread;Chamfer,0.1mm,500
PART_160,Precision Dowel Pin,Titanium,Chamfer;Face,0.005mm,2500
PART_161,Flanged Bushing,Copper,Hole;Face;Chamfer;Counterbore,0.02mm,50
PART_162,Mounting Bracket,Steel,Slot;Hole;Chamfer;Face,0.05mm,500
PART_163,Gear Blank,Steel,Gear_Teeth;Hole;Keyway;Face,0.01mm,10
PART_164,Boss with Spotface,Steel,Boss;Counterbore;Hole,0.02mm,100
PART_165,Internally Threaded Bushing,Steel,Thread;Hole;Chamfer;Face,0.02mm,500
PART_166,Stepped Shaft with Retaining Groove,Steel,Step;Groove;Fillet;Chamfer,0.02mm,100
PART_167,Gear Blank,Cast Iron,Gear_Teeth;Hole;Keyway;Face,0.01mm,50
PART_168,Knurled Grip Handle,Plastic,Knurl;Step;Chamfer;Face,0.05mm,100
PART_169,Flange Plate,Steel,Hole;Counterbore;Countersink;Chamfer;Face,0.05mm,100
PART_170,Splined Shaft,Steel,Spline;Step;Fillet;Chamfer,0.01mm,50
PART_171,V-Belt Pulley,Cast Iron,Groove;Hole;Keyway;Face,0.02mm,250
PART_172,Precision Dowel Pin,Steel,Chamfer;Face,0.01mm,500
PART_173,Flanged Bushing,Copper,Hole;Face;Chamfer;Counterbore,0.02mm,250
PART_174,Boss with Spotface,Cast Iron,Boss;Counterbore;Hole,0.02mm,50
PART_175,Cam Profile Disc,Steel,Contour_3D;Hole;Keyway,0.01mm,50
PART_176,Threaded Shaft with Relief Groove,Titanium,Thread;Fillet;Step,0.01mm,10
PART_177,Flange Plate,Cast Iron,Hole;Counterbore;Countersink;Chamfer;Face,0.1mm,100
PART_178,Threaded Shaft with Relief Groove,Steel,Thread;Fillet;Step,0.02mm,10
PART_179,Stepped Shaft with Retaining Groove,Steel,Step;Groove;Fillet;Chamfer,0.02mm,100
PART_180,Hex Bolt,Steel,Face;Thread;Chamfer,0.02mm,1000
PART_181,V-Belt Pulley,Aluminum,Groove;Hole;Keyway;Face,0.05mm,50
PART_182,Flange Plate,Aluminum,Hole;Counterbore;Countersink;Chamfer;Face,0.05mm,500
PART_183,Hex Bolt,Brass,Face;Thread;Chamfer,0.02mm,5000
PART_184,Keyed Shaft,Aluminum,Step;Keyway;Chamfer;Face,0.02mm,10
PART_185,Sealed Housing Cover,Cast Iron,Groove;Face;Hole;Chamfer,0.1mm,250
PART_186,Keyed Shaft,Cast Iron,Step;Keyway;Chamfer;Face,0.02mm,100
PART_187,Internally Threaded Bushing,Copper,Thread;Hole;Chamfer;Face,0.05mm,250
PART_188,V-Belt Pulley,Steel,Groove;Hole;Keyway;Face,0.05mm,50
PART_189,Tapered Sleeve,Aluminum,Taper;Hole;Chamfer,0.05mm,50
PART_190,Keyed Shaft,Aluminum,Step;Keyway;Chamfer;Face,0.02mm,100
PART_191,Engraved ID Plate,Plastic,Engraved_Mark;Face;Hole;Chamfer,0.5mm,50
PART_192,Hex Bolt,Brass,Face;Thread;Chamfer,0.05mm,500
PART_193,Cam Profile Disc,Steel,Contour_3D;Hole;Keyway,0.01mm,10
PART_194,Flanged Bushing,Brass,Hole;Face;Chamfer;Counterbore,0.02mm,50
PART_195,Flange Plate,Cast Iron,Hole;Counterbore;Countersink;Chamfer;Face,0.05mm,500
PART_196,Pocketed Housing,Aluminum,Pocket;Hole;Counterbore;Chamfer,0.05mm,10
PART_197,Mounting Bracket,Steel,Slot;Hole;Chamfer;Face,0.1mm,500
PART_198,Mounting Bracket,Steel,Slot;Hole;Chamfer;Face,0.05mm,500
PART_199,Knurled Grip Handle,Aluminum,Knurl;Step;Chamfer;Face,0.1mm,100
PART_200,V-Belt Pulley,Aluminum,Groove;Hole;Keyway;Face,0.02mm,250
